地图,pair索引,配置,成功次数,成功率(%),平均路径长度(m),路径长度std,平均规划时间(s),规划时间std,平均节点数,平均迭代数
map_0002_seed_6166301871256227967,0,Baseline,50,100.0,32.49,5.64,0.466,0.069,176,52
map_0002_seed_6166301871256227967,0,GoalBias,50,100.0,29.55,3.15,0.591,0.294,167,28
map_0002_seed_6166301871256227967,0,GoalBias+Tangent,50,100.0,34.57,3.97,0.429,0.056,164,28
map_0002_seed_6166301871256227967,1,Baseline,50,100.0,50.30,6.08,0.635,0.142,219,128
map_0002_seed_6166301871256227967,1,GoalBias,50,100.0,46.95,5.68,0.656,0.247,200,158
map_0002_seed_6166301871256227967,1,GoalBias+Tangent,50,100.0,51.67,5.10,0.554,0.193,193,161
map_0002_seed_6166301871256227967,2,Baseline,50,100.0,51.20,5.85,1.030,0.303,295,281
map_0002_seed_6166301871256227967,2,GoalBias,50,100.0,50.31,5.77,1.130,0.427,303,392
map_0002_seed_6166301871256227967,2,GoalBias+Tangent,50,100.0,55.69,5.27,1.067,0.422,306,407
map_0002_seed_6166301871256227967,3,Baseline,50,100.0,33.07,4.33,0.460,0.052,177,59
map_0002_seed_6166301871256227967,3,GoalBias,50,100.0,31.30,3.61,0.468,0.252,154,38
map_0002_seed_6166301871256227967,3,GoalBias+Tangent,50,100.0,36.97,4.70,0.417,0.060,162,38
map_0002_seed_6166301871256227967,4,Baseline,50,100.0,51.82,4.98,0.901,0.238,251,375
map_0002_seed_6166301871256227967,4,GoalBias,50,100.0,51.16,5.62,0.958,0.308,232,437
map_0002_seed_6166301871256227967,4,GoalBias+Tangent,50,100.0,56.15,6.13,0.850,0.216,226,437
map_0002_seed_6166301871256227967,5,Baseline,50,100.0,59.87,13.83,1.181,0.390,304,472
map_0002_seed_6166301871256227967,5,GoalBias,50,100.0,59.05,11.53,1.085,0.347,264,505
map_0002_seed_6166301871256227967,5,GoalBias+Tangent,50,100.0,64.59,12.05,0.900,0.293,248,506
map_0002_seed_6166301871256227967,6,Baseline,50,100.0,36.99,5.67,0.620,0.249,215,149
map_0002_seed_6166301871256227967,6,GoalBias,50,100.0,34.86,4.25,0.671,0.247,200,136
map_0002_seed_6166301871256227967,6,GoalBias+Tangent,50,100.0,39.80,5.36,0.495,0.124,186,137
map_0002_seed_6166301871256227967,7,Baseline,50,100.0,35.48,4.56,0.698,0.291,225,163
map_0002_seed_6166301871256227967,7,GoalBias,50,100.0,34.86,4.93,0.698,0.280,214,152
map_0002_seed_6166301871256227967,7,GoalBias+Tangent,50,100.0,39.80,5.63,0.594,0.250,205,154
map_0002_seed_6166301871256227967,8,Baseline,50,100.0,52.30,5.80,0.913,0.307,240,360
map_0002_seed_6166301871256227967,8,GoalBias,50,100.0,51.15,5.74,0.962,0.335,229,431
map_0002_seed_6166301871256227967,8,GoalBias+Tangent,50,100.0,55.23,7.13,0.869,0.246,232,431
map_0002_seed_6166301871256227967,9,Baseline,50,100.0,58.05,7.30,0.821,0.189,256,224
map_0002_seed_6166301871256227967,9,GoalBias,50,100.0,58.42,5.86,0.874,0.314,245,237
map_0002_seed_6166301871256227967,9,GoalBias+Tangent,50,100.0,63.23,5.87,0.696,0.195,233,243
