地图,pair索引,配置,成功次数,成功率(%),平均路径长度(m),路径长度std,平均规划时间(s),规划时间std,平均节点数,平均迭代数
map_0000_seed_5999483176752387165,0,Baseline,50,100.0,34.34,4.41,0.359,0.047,289,56
map_0000_seed_5999483176752387165,0,GoalBias,50,100.0,32.17,3.13,0.379,0.150,254,24
map_0000_seed_5999483176752387165,0,GoalBias+Tangent,50,100.0,37.38,4.23,0.266,0.041,244,24
map_0000_seed_5999483176752387165,1,Baseline,50,100.0,43.77,6.75,0.411,0.113,284,48
map_0000_seed_5999483176752387165,1,GoalBias,50,100.0,38.15,4.01,0.371,0.152,249,25
map_0000_seed_5999483176752387165,1,GoalBias+Tangent,50,100.0,44.01,5.09,0.290,0.036,254,25
map_0000_seed_5999483176752387165,2,Baseline,50,100.0,35.64,6.38,0.430,0.094,315,87
map_0000_seed_5999483176752387165,2,GoalBias,50,100.0,33.77,6.66,0.384,0.107,275,60
map_0000_seed_5999483176752387165,2,GoalBias+Tangent,50,100.0,38.49,6.94,0.289,0.055,265,60
map_0000_seed_5999483176752387165,3,Baseline,50,100.0,33.92,5.56,0.333,0.052,280,44
map_0000_seed_5999483176752387165,3,GoalBias,50,100.0,32.29,4.10,0.267,0.083,237,23
map_0000_seed_5999483176752387165,3,GoalBias+Tangent,50,100.0,36.61,4.86,0.264,0.027,253,23
map_0000_seed_5999483176752387165,4,Baseline,50,100.0,44.67,5.89,0.346,0.053,292,57
map_0000_seed_5999483176752387165,4,GoalBias,50,100.0,41.04,3.15,0.342,0.118,252,28
map_0000_seed_5999483176752387165,4,GoalBias+Tangent,50,100.0,45.68,4.34,0.260,0.026,247,28
map_0000_seed_5999483176752387165,5,Baseline,50,100.0,38.32,5.69,0.328,0.039,276,42
map_0000_seed_5999483176752387165,5,GoalBias,50,100.0,38.33,5.72,0.350,0.119,258,34
map_0000_seed_5999483176752387165,5,GoalBias+Tangent,50,100.0,43.88,5.38,0.263,0.036,247,34
map_0000_seed_5999483176752387165,6,Baseline,50,100.0,39.07,5.59,0.369,0.081,297,66
map_0000_seed_5999483176752387165,6,GoalBias,50,100.0,36.10,3.44,0.313,0.113,248,32
map_0000_seed_5999483176752387165,6,GoalBias+Tangent,50,100.0,40.91,5.37,0.280,0.036,254,32
map_0000_seed_5999483176752387165,7,Baseline,50,100.0,44.20,5.69,0.378,0.055,296,66
map_0000_seed_5999483176752387165,7,GoalBias,50,100.0,42.71,4.49,0.330,0.093,257,44
map_0000_seed_5999483176752387165,7,GoalBias+Tangent,50,100.0,46.94,5.21,0.272,0.037,254,44
map_0000_seed_5999483176752387165,8,Baseline,50,100.0,33.24,5.28,0.352,0.053,293,61
map_0000_seed_5999483176752387165,8,GoalBias,50,100.0,33.64,3.35,0.334,0.114,253,38
map_0000_seed_5999483176752387165,8,GoalBias+Tangent,50,100.0,38.51,4.53,0.292,0.043,256,38
map_0000_seed_5999483176752387165,9,Baseline,50,100.0,41.73,6.38,0.330,0.043,284,53
map_0000_seed_5999483176752387165,9,GoalBias,50,100.0,37.95,4.77,0.348,0.151,248,39
map_0000_seed_5999483176752387165,9,GoalBias+Tangent,50,100.0,43.04,4.94,0.286,0.035,259,39
