density,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
10,0,0,RRT*,1,4.787142276763916,285,363,144.0196507970278
10,0,0,GoalBias,1,1.7791318893432617,73,159,133.34880734386846
10,0,0,Hybrid,1,0.7660329341888428,37,84,155.39491145280687
10,0,1,RRT*,1,7.176497936248779,479,513,161.6025114080379
10,0,1,GoalBias,1,1.9559319019317627,91,168,110.294333954837
10,0,1,Hybrid,1,1.5503709316253662,75,119,144.05500228283452
10,0,2,RRT*,1,6.44454288482666,401,470,200.42175346209584
10,0,2,GoalBias,1,1.2211408615112305,46,124,125.74407287053661
10,0,2,Hybrid,1,0.7988569736480713,36,85,122.5390575263619
10,0,3,RRT*,1,6.307973146438599,423,447,168.77391096283628
10,0,3,GoalBias,1,1.2719159126281738,52,135,125.48039068953872
10,0,3,Hybrid,1,1.036909818649292,85,113,150.38581993707214
10,0,4,RRT*,1,1.4552111625671387,57,149,145.98084910043295
10,0,4,GoalBias,1,1.2674767971038818,68,122,118.53334210369745
10,0,4,Hybrid,1,0.8868288993835449,48,100,134.4732873044153
10,0,5,RRT*,1,5.4700422286987305,371,411,141.65796191323037
10,0,5,GoalBias,1,1.840400218963623,137,180,126.24579178880099
10,0,5,Hybrid,1,1.19339919090271,84,121,127.97838191802467
10,0,6,RRT*,1,5.346736192703247,319,400,144.06149972638897
10,0,6,GoalBias,1,1.3478951454162598,47,127,155.93852537229031
10,0,6,Hybrid,1,0.9284317493438721,40,96,113.72685289977677
10,0,7,RRT*,1,2.707473039627075,164,254,162.86487032882266
10,0,7,GoalBias,1,1.6416492462158203,88,152,111.0856550121026
10,0,7,Hybrid,1,0.7070999145507812,40,84,126.77005421196273
10,0,8,RRT*,1,2.849810838699341,169,260,174.95595107864273
10,0,8,GoalBias,1,1.8158931732177734,95,168,121.27822558782987
10,0,8,Hybrid,1,1.0285649299621582,117,110,171.8785544974919
10,0,9,RRT*,1,5.958118200302124,398,464,164.03748662012094
10,0,9,GoalBias,1,3.439903974533081,262,279,171.60340170041442
10,0,9,Hybrid,1,0.7928657531738281,40,80,138.91949857411367
10,1,0,RRT*,1,7.36959981918335,511,535,169.40567314411712
10,1,0,GoalBias,1,14.234713077545166,668,682,140.41353276412428
10,1,0,Hybrid,1,0.7121949195861816,37,78,138.93159786854685
10,1,1,RRT*,1,5.284764289855957,336,397,169.46424101177823
10,1,1,GoalBias,1,1.7141387462615967,130,161,135.47349644803575
10,1,1,Hybrid,1,1.357017993927002,71,113,153.15339563040155
10,1,2,RRT*,1,5.172359943389893,311,395,134.46432642733106
10,1,2,GoalBias,1,1.2724940776824951,52,123,119.59750685181425
10,1,2,Hybrid,1,1.1493759155273438,126,95,147.00157313038108
10,1,3,RRT*,1,6.632339000701904,408,492,184.57941088805111
10,1,3,GoalBias,1,7.222862005233765,449,437,138.84944581576744
10,1,3,Hybrid,1,0.9676220417022705,54,95,159.81637174864431
10,1,4,RRT*,1,12.603017807006836,630,634,167.7152842745384
10,1,4,GoalBias,1,3.2127182483673096,256,267,144.81756907054296
10,1,4,Hybrid,1,1.2866370677947998,117,101,131.3439893042072
10,1,5,RRT*,1,2.8237950801849365,168,261,157.00672552271172
10,1,5,GoalBias,1,10.834242105484009,656,674,160.6516600911406
10,1,5,Hybrid,1,0.7785348892211914,44,91,151.41617485480765
10,1,6,RRT*,1,3.7499561309814453,202,298,166.08886486763652
10,1,6,GoalBias,1,1.446850061416626,56,123,153.23453699034386
10,1,6,Hybrid,1,1.0403587818145752,102,99,97.58144468816528
10,1,7,RRT*,1,6.303639888763428,404,466,143.6945332670286
10,1,7,GoalBias,1,3.9383139610290527,176,237,176.43639178578692
10,1,7,Hybrid,1,0.8664658069610596,45,92,149.81336675253513
10,1,8,RRT*,1,3.008273124694824,174,255,140.68730862475795
10,1,8,GoalBias,1,1.979588270187378,127,181,112.20729053944629
10,1,8,Hybrid,1,0.846898078918457,48,96,108.30640041243034
10,1,9,RRT*,1,2.4851768016815186,137,204,144.60396571302476
10,1,9,GoalBias,1,2.0274980068206787,159,173,152.0353671991829
10,1,9,Hybrid,1,0.8419129848480225,43,88,148.16361032071688
10,2,0,RRT*,1,5.434319019317627,329,386,171.19765086310838
10,2,0,GoalBias,1,1.529433250427246,73,135,132.18906617363865
10,2,0,Hybrid,1,0.8219058513641357,37,85,125.21972666244378
10,2,1,RRT*,1,3.382695198059082,117,218,144.92727563482816
10,2,1,GoalBias,1,1.5243690013885498,70,148,140.22448668809744
10,2,1,Hybrid,1,0.8891558647155762,33,91,117.00963548389284
10,2,2,RRT*,1,4.728142023086548,291,374,159.91843109680562
10,2,2,GoalBias,1,1.214690923690796,41,118,142.3480635372634
10,2,2,Hybrid,1,2.7200281620025635,135,171,146.02050865731277
10,2,3,RRT*,1,6.784031867980957,380,456,136.80890949426714
10,2,3,GoalBias,1,3.3772733211517334,230,286,124.90053493446327
10,2,3,Hybrid,1,1.0222818851470947,47,102,132.9294766338387
10,2,4,RRT*,1,4.583053112030029,256,340,162.20789120613242
10,2,4,GoalBias,1,8.297287940979004,433,493,157.6510390078876
10,2,4,Hybrid,1,0.6951699256896973,27,84,151.98973902030244
10,2,5,RRT*,1,2.2885148525238037,135,227,167.86767478424062
10,2,5,GoalBias,1,2.199402093887329,136,174,146.77709937578834
10,2,5,Hybrid,1,1.0555450916290283,64,104,113.62167317532712
10,2,6,RRT*,1,4.031719923019409,220,304,136.94499514329684
10,2,6,GoalBias,1,1.5061509609222412,47,135,129.20349095731805
10,2,6,Hybrid,1,1.1176559925079346,50,103,146.61167663251445
10,2,7,RRT*,1,16.715448141098022,894,922,142.57838479147776
10,2,7,GoalBias,1,1.284994125366211,41,122,146.35044784930076
10,2,7,Hybrid,1,0.7644720077514648,36,82,117.46885487724299
10,2,8,RRT*,1,2.662363052368164,136,221,151.9374818019025
10,2,8,GoalBias,1,1.1547179222106934,48,129,108.44915600014792
10,2,8,Hybrid,1,1.2112538814544678,82,127,139.71775054294815
10,2,9,RRT*,1,4.2192230224609375,254,332,124.47325383868858
10,2,9,GoalBias,1,1.2090680599212646,46,118,128.48234689829405
10,2,9,Hybrid,1,3.4214508533477783,98,144,149.62328045921717
10,3,0,RRT*,1,7.312578916549683,458,533,148.1601959727025
10,3,0,GoalBias,1,3.477832078933716,229,280,169.7604186105297
10,3,0,Hybrid,1,0.8375957012176514,56,91,137.75462169192252
10,3,1,RRT*,1,3.9948198795318604,205,291,136.5595295791349
10,3,1,GoalBias,1,1.3097147941589355,58,123,110.92614895169567
10,3,1,Hybrid,1,0.6890530586242676,32,77,140.38791911875396
10,3,2,RRT*,1,9.383549928665161,524,589,167.9172123728192
10,3,2,GoalBias,1,21.294156789779663,765,806,126.65484974088612
10,3,2,Hybrid,1,1.1263232231140137,110,97,116.14396098855605
10,3,3,RRT*,1,12.450887203216553,737,797,142.0122818415005
10,3,3,GoalBias,1,1.249957799911499,53,122,124.3050224899912
10,3,3,Hybrid,1,0.8672089576721191,54,93,133.59401688960727
10,3,4,RRT*,1,3.947796106338501,248,332,157.14510191981972
10,3,4,GoalBias,1,4.0942628383636475,237,286,131.33026932719184
10,3,4,Hybrid,1,1.883976936340332,73,128,146.3621937706634
10,3,5,RRT*,1,5.395128965377808,377,432,146.47216284500064
10,3,5,GoalBias,1,1.3666539192199707,59,131,116.45673340449105
10,3,5,Hybrid,1,0.7500510215759277,49,90,106.85506957663141
10,3,6,RRT*,1,4.112954139709473,220,295,153.29704347917897
10,3,6,GoalBias,1,1.4922821521759033,47,122,109.46040920130986
10,3,6,Hybrid,1,0.977780818939209,47,100,122.03850499629543
10,3,7,RRT*,1,6.193608999252319,390,462,141.60563509071932
10,3,7,GoalBias,1,32.70201587677002,812,804,178.76511266091873
10,3,7,Hybrid,1,0.7197480201721191,80,76,132.16413632853687
10,3,8,RRT*,1,2.8004329204559326,131,220,160.21331047607305
10,3,8,GoalBias,1,1.1610019207000732,48,127,108.6999401440427
10,3,8,Hybrid,1,0.821674108505249,45,93,114.23976029030565
10,3,9,RRT*,1,4.243451118469238,254,327,121.95010539114874
10,3,9,GoalBias,1,1.1438930034637451,46,106,123.17335291485517
10,3,9,Hybrid,1,0.7490830421447754,42,85,145.2322486133822
10,4,0,RRT*,1,4.3074822425842285,227,315,153.932927247163
10,4,0,GoalBias,1,1.2387447357177734,116,122,163.08443078517774
10,4,0,Hybrid,1,0.6777777671813965,37,79,109.00421020766818
10,4,1,RRT*,1,2.444916009902954,141,221,123.35854926353436
10,4,1,GoalBias,1,1.225532054901123,42,119,141.75834743189975
10,4,1,Hybrid,1,1.4207210540771484,85,117,116.26126053687406
10,4,2,RRT*,1,3.100709915161133,167,249,165.7631442089363
10,4,2,GoalBias,1,1.2784111499786377,47,118,153.7977269468975
10,4,2,Hybrid,1,1.559216022491455,75,113,118.86119651389289
10,4,3,RRT*,1,6.341181039810181,380,446,123.7768157996017
10,4,3,GoalBias,1,1.34505033493042,52,135,122.48770220346984
10,4,3,Hybrid,1,2.353529214859009,90,124,113.25310982578132
10,4,4,RRT*,1,6.293449878692627,404,444,146.30830299899876
10,4,4,GoalBias,1,14.038993120193481,794,801,154.27707794906112
10,4,4,Hybrid,1,0.7262117862701416,38,87,145.6033471802851
10,4,5,RRT*,1,7.314932823181152,463,519,159.48691430474295
10,4,5,GoalBias,1,3.6216890811920166,258,263,111.2919099217364
10,4,5,Hybrid,1,0.8643438816070557,52,91,114.38174574444682
10,4,6,RRT*,1,10.831421852111816,637,644,132.75577466713554
10,4,6,GoalBias,1,1.477097988128662,47,125,118.82201705308938
10,4,6,Hybrid,1,0.9799671173095703,49,98,143.8833740886035
10,4,7,RRT*,1,14.626747131347656,834,861,197.5665644409743
10,4,7,GoalBias,1,2.267915964126587,177,178,117.41331294622952
10,4,7,Hybrid,1,1.037402868270874,54,88,115.18768434288138
10,4,8,RRT*,1,4.311121940612793,245,336,159.31262422479102
10,4,8,GoalBias,1,1.2469768524169922,48,128,108.4491560001514
10,4,8,Hybrid,1,1.0853259563446045,71,111,141.59488457012444
10,4,9,RRT*,1,13.382702112197876,716,778,131.9152691887182
10,4,9,GoalBias,1,1.1520850658416748,45,112,123.3019491648527
10,4,9,Hybrid,1,0.7172670364379883,46,82,147.4913671655525
20,0,0,RRT*,1,11.80496096611023,458,500,180.1983761790991
20,0,0,GoalBias,1,2.6969339847564697,85,149,156.02500766478184
20,0,0,Hybrid,1,6.105778932571411,178,198,158.26711507261857
20,0,1,RRT*,1,8.004196882247925,314,373,154.75818565530938
20,0,1,GoalBias,1,2.6625330448150635,141,143,118.06780965479163
