gap_width,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
2.5,0,1,RRT*,1,19.745376586914062,761,570,226.46737046482232
2.5,0,0,RRT*,1,20.438918113708496,921,656,111.1684839333983
2.5,0,0,Hybrid,1,26.16873288154602,665,473,189.27943859195156
2.5,0,1,GoalBias,1,16.429097175598145,988,506,220.0732519656376
2.5,0,0,GoalBias,0,,,,
2.5,0,1,Hybrid,1,18.858355045318604,653,453,189.69390234246308
2.5,0,2,Hybrid,1,2.93652081489563,134,143,146.17960400453336
2.5,0,3,RRT*,1,8.133440017700195,332,293,124.2725085857692
2.5,0,2,RRT*,1,23.344931840896606,907,637,194.63345185876236
2.5,0,3,Hybrid,1,3.326711893081665,151,163,190.4416986143739
2.5,0,4,RRT*,1,6.0420448780059814,256,259,128.3075937216363
2.5,0,4,Hybrid,1,2.980435848236084,130,161,141.67312840847418
2.5,0,2,GoalBias,1,23.25153160095215,1159,644,190.32316347805036
2.5,0,3,GoalBias,1,20.056517839431763,933,580,213.29372464102352
2.5,0,4,GoalBias,1,12.779072999954224,823,385,113.26013540098788
2.5,0,5,GoalBias,1,7.517539024353027,391,277,177.80745392094553
2.5,0,5,Hybrid,1,9.320677280426025,334,255,196.49588867177488
2.5,0,5,RRT*,1,14.784404039382935,589,457,211.30646036884536
2.5,0,6,GoalBias,1,7.49702787399292,364,274,191.54677068189295
2.5,0,7,GoalBias,1,10.012334823608398,477,335,128.65620038859868
2.5,0,6,Hybrid,1,15.856361865997314,471,368,214.19163145109093
2.5,0,7,RRT*,1,13.767682075500488,494,469,227.83730430351943
2.5,0,8,RRT*,1,10.403841018676758,490,392,183.57000949677794
2.5,0,6,RRT*,1,41.98641896247864,1113,856,209.70526980597242
2.5,0,8,Hybrid,1,18.337829113006592,643,407,187.3236584280649
2.5,0,7,Hybrid,1,32.87576484680176,579,426,178.79128659917876
2.5,0,9,RRT*,1,17.594497203826904,703,598,145.60963242381897
2.5,0,9,GoalBias,1,19.521199226379395,747,462,158.5381947838913
2.5,0,8,GoalBias,1,48.354931116104126,1488,746,168.51069281267272
