overlap,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
0,0,0,Hybrid,1,3.521552085876465,130,117,110.84287473075015
0,0,0,GoalBias,1,3.871497869491577,73,134,127.91296200481567
0,0,1,RRT*,1,5.895355224609375,150,195,142.37984909200026
0,0,1,Hybrid,1,4.675174236297607,253,146,127.9721178411378
0,0,1,GoalBias,1,5.9127538204193115,200,203,137.01654854539353
0,0,2,Hybrid,1,2.9409971237182617,81,107,119.32102954892015
0,0,2,GoalBias,1,4.784976243972778,158,168,138.30916312270023
0,0,2,RRT*,1,9.46448802947998,250,298,160.2804623481341
0,0,3,GoalBias,1,2.9905149936676025,70,139,126.17843854433903
0,0,0,RRT*,1,19.66704487800598,652,529,127.2474487161927
0,0,3,Hybrid,1,4.370262145996094,123,141,167.95969321409675
0,0,4,Hybrid,1,3.3388452529907227,108,132,159.82097405730065
0,0,4,GoalBias,1,3.568993091583252,159,134,122.73180204673814
0,0,3,RRT*,1,14.501601934432983,404,411,154.6719595546676
0,0,5,RRT*,1,5.107187986373901,177,193,132.61601937201962
0,0,5,Hybrid,1,4.625948905944824,150,158,143.9507047711796
0,0,5,GoalBias,1,9.376086950302124,293,285,174.0799769246465
0,0,6,RRT*,1,6.433885097503662,220,225,150.11926841863163
0,0,6,GoalBias,1,3.4274702072143555,47,110,118.82201705308938
0,0,6,Hybrid,1,5.111474990844727,219,161,165.44780481169735
0,0,7,Hybrid,1,2.496485948562622,85,93,158.27285046239817
0,0,7,GoalBias,1,10.454801797866821,360,286,140.83119169852333
0,0,8,RRT*,1,8.108763933181763,254,284,128.54437411724933
0,0,8,GoalBias,1,3.4052717685699463,93,133,112.09579853929974
0,0,8,Hybrid,1,3.9551479816436768,127,129,166.49928305051878
0,0,9,GoalBias,1,3.088582992553711,47,105,116.20934414889062
0,0,9,Hybrid,1,3.8942320346832275,86,115,137.1996758675625
0,0,7,RRT*,1,26.727147102355957,687,577,198.95341216421642
0,0,9,RRT*,1,14.398952007293701,378,369,199.0895745267393
0,1,0,RRT*,1,9.664058208465576,285,269,196.50954677735018
0,1,0,Hybrid,1,6.889798879623413,196,194,161.4835770259189
0,1,0,GoalBias,1,13.215466976165771,512,355,150.74088503780038
0,1,1,GoalBias,1,4.620697975158691,156,166,120.35217469179379
0,0,4,RRT*,1,60.652865171432495,1271,1109,186.14487394553262
0,1,1,RRT*,1,10.83580207824707,314,353,186.17162285235443
0,1,1,Hybrid,1,6.927538871765137,206,173,132.12063789183028
0,1,2,RRT*,1,7.404807090759277,251,246,142.62906935878405
