overlap,method,trials,success_rate_percent,mean_planning_time,std_planning_time,median_planning_time,mean_first_solution_iteration,std_first_solution_iteration,median_first_solution_iteration,mean_node_count,std_node_count,median_node_count,mean_path_length,std_path_length,median_path_length
0,RRT*,50,100.0,13.111994390487672,9.280274459580367,10.385001540184021,374.3,214.74068367333143,314.0,356.98,173.30608642467448,311.0,155.89946209658243,25.08007005595299,154.12410000188294
0,GoalBias,50,100.0,7.116926350593567,5.679120450415368,5.2626625299453735,230.9,175.80128508271687,185.0,212.42,114.74018387608749,177.5,143.27198320146167,20.5875704488134,141.47221447417155
0,Hybrid,50,100.0,9.378050408363343,11.790149683250725,4.836337089538574,210.12,166.40847702112353,165.0,184.14,106.38877683635006,158.0,146.40500436252643,24.032376222168825,144.5947487431467
20,RRT*,50,100.0,14.297643837928772,9.77722150005266,12.26683759689331,377.16,224.53547149433578,335.5,378.52,187.07722295068092,344.0,148.6394326428577,20.408470625011493,148.95899852622665
20,GoalBias,50,98.0,13.181874435775134,23.899383540361946,5.0607030391693115,308.1020408163265,318.66454703561703,164.0,283.14285714285717,234.49555788258903,171.0,134.22914143286084,16.800380777416073,134.3794147498746
20,Hybrid,50,100.0,9.311754779815674,15.097268711623261,4.6630436182022095,184.4,200.97466588237089,119.0,179.46,144.2660821155811,138.0,132.99514029075166,22.309533472654742,124.20770306431248
40,RRT*,50,98.0,16.440075013102316,10.17889515487371,15.438343048095703,399.7551020408163,205.9311708043334,389.0,407.6326530612245,174.9138709333767,411.0,149.22066579359202,22.089998900854425,152.5418908898635
40,GoalBias,50,100.0,6.092532444000244,3.9973766832626003,4.9621909856796265,167.9,129.32450089063653,133.0,175.52,68.54768636593396,155.0,130.33116613962824,19.32813906669895,128.990599255745
40,Hybrid,50,100.0,5.393310594558716,6.000399159544693,3.224139094352722,117.5,94.38528292405051,81.0,133.3,70.12416102302882,112.5,131.92631684045452,18.77633158578699,127.17583875330078
60,RRT*,50,100.0,12.97444190979004,7.190386316753169,10.553769946098328,319.16,166.73360886914975,254.5,356.84,136.83348438514454,311.5,147.58723047331327,22.921586846660645,148.24409736579008
60,GoalBias,50,100.0,7.695786728858947,7.4524601973318205,4.358550071716309,183.56,170.19306683881103,117.0,211.42,140.40801913257908,146.5,138.55928259403413,21.911411448901514,136.53310042396657
60,Hybrid,50,100.0,7.998097414970398,11.628207960923735,3.23720383644104,123.1,111.01962503475295,78.5,145.88,84.14483141026086,109.5,132.25017153704607,18.782790534439933,131.77912174963035
