safety_margin,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
0.0,0,0,GoalBias,1,7.507782936096191,225,207,149.82546169872816
0.0,0,1,RRT*,1,7.538722038269043,205,228,172.7028623212601
0.0,0,0,RRT*,1,10.092347145080566,285,285,161.61100278876816
0.0,0,1,Hybrid,1,5.622873067855835,154,159,147.88017194068644
0.0,0,1,GoalBias,1,7.9189770221710205,325,207,161.85221093990467
0.0,0,0,Hybrid,1,16.828338861465454,181,191,96.14513318697902
0.0,0,2,GoalBias,1,4.557987928390503,98,159,147.3778204319594
0.0,0,2,Hybrid,1,3.2922170162200928,93,105,133.62000330312208
0.0,0,2,RRT*,1,11.977792978286743,351,309,179.04083948623682
0.0,0,3,GoalBias,1,10.268646717071533,290,277,131.01549824224833
0.0,0,4,GoalBias,1,3.6220951080322266,132,124,109.92691491726403
0.0,0,4,RRT*,1,14.601509094238281,364,362,142.54735462646394
0.0,0,3,Hybrid,1,18.911163091659546,216,216,138.36922358348463
0.0,0,3,RRT*,1,23.025230169296265,628,496,194.7446969059277
0.0,0,4,Hybrid,1,9.048219203948975,152,162,164.72610352846712
0.0,0,5,GoalBias,1,5.66965913772583,145,181,135.9445653239571
0.0,0,6,GoalBias,1,4.325900077819824,85,132,115.73595040970064
0.0,0,6,RRT*,1,7.840191125869751,202,223,169.48685998698048
0.0,0,5,Hybrid,1,9.747353076934814,562,217,136.25314712523766
0.0,0,6,Hybrid,1,3.952589988708496,239,127,111.63973982579948
0.0,0,5,RRT*,1,17.60184597969055,505,416,101.96641228429483
0.0,0,7,GoalBias,1,6.110351085662842,166,162,138.5026797282968
0.0,0,8,GoalBias,1,4.6390380859375,95,150,135.13942787649478
0.0,0,7,Hybrid,1,9.650232076644897,205,185,124.40862862078589
0.0,0,8,RRT*,1,7.657639980316162,203,226,136.7867698163475
0.0,0,9,GoalBias,1,3.1275038719177246,70,107,121.60690791904683
0.0,0,9,RRT*,1,7.17025899887085,181,219,118.98843577630747
0.0,0,8,Hybrid,1,11.292493104934692,975,199,127.4300254596759
0.0,0,7,RRT*,1,23.69717311859131,546,526,144.20049888411043
0.0,0,9,Hybrid,1,10.37809419631958,299,234,157.4627772853472
0.0,1,0,Hybrid,1,3.389525890350342,125,108,130.98473167356028
0.0,1,0,RRT*,1,7.9207868576049805,191,173,153.6600983110754
0.0,1,0,GoalBias,1,4.858492851257324,113,130,129.93364528250677
0.0,1,1,Hybrid,1,3.761819839477539,163,116,141.74763187314196
0.0,1,1,RRT*,1,7.317403316497803,176,211,124.80352831126676
0.0,1,2,GoalBias,1,4.082095146179199,110,124,145.3061231573777
0.0,1,2,Hybrid,1,2.6953489780426025,73,95,137.34356377521223
0.0,1,2,RRT*,1,13.107863903045654,395,334,162.72126795130353
0.0,1,3,Hybrid,1,2.620900869369507,50,76,130.8946065290936
0.0,1,1,GoalBias,1,18.717466831207275,549,453,168.47048895568483
0.0,1,4,RRT*,1,16.889718055725098,404,387,113.56431540345727
0.0,1,4,GoalBias,1,16.379787921905518,510,389,143.4288052156238
0.0,1,4,Hybrid,1,2.4186289310455322,48,83,147.74376581024626
0.0,1,3,RRT*,1,30.725063800811768,765,617,141.82850548469025
0.0,1,5,GoalBias,1,5.6068360805511475,171,164,183.76239639745964
0.0,1,5,RRT*,1,6.831301689147949,168,209,166.45454428435835
0.0,1,5,Hybrid,1,2.670016050338745,78,89,143.73330753561478
