scenario,method,seed,success,planning_time,first_solution_iteration,node_count,path_length
hybrid_single_blocker,RRT*,0,1,2.617340087890625,213,310,158.5656838898842
hybrid_single_blocker,GoalBias,0,1,1.0475127696990967,91,162,134.2447473574979
hybrid_single_blocker,Hybrid,0,1,0.45061182975769043,38,81,138.67557857572393
hybrid_single_blocker,RRT*,1,1,5.251505136489868,507,576,178.4067191184156
hybrid_single_blocker,GoalBias,1,1,1.2681682109832764,121,197,135.40623287740064
hybrid_single_blocker,Hybrid,1,1,0.5969798564910889,40,94,140.76867764867666
hybrid_staggered_trees,RRT*,0,1,3.7066380977630615,296,375,114.9535411964737
hybrid_staggered_trees,GoalBias,0,1,4.025206089019775,307,341,145.6005369338013
hybrid_staggered_trees,Hybrid,0,1,0.8607227802276611,62,104,171.23955594576722
hybrid_staggered_trees,RRT*,1,1,2.9965240955352783,243,301,173.69376739226817
hybrid_staggered_trees,GoalBias,1,1,1.2212128639221191,91,142,158.81430770599854
hybrid_staggered_trees,Hybrid,1,1,1.0337400436401367,81,110,128.84798471466917
hybrid_row_corridor,RRT*,0,1,4.138401031494141,229,258,124.68067733667424
hybrid_row_corridor,GoalBias,0,1,1.8451080322265625,131,129,141.57025750851986
hybrid_row_corridor,Hybrid,0,1,0.824955940246582,51,67,124.64094459081254
hybrid_row_corridor,RRT*,1,1,21.826932907104492,1072,986,175.40754184867808
hybrid_row_corridor,GoalBias,1,1,1.4253239631652832,42,92,141.75834743189975
hybrid_row_corridor,Hybrid,1,1,1.1170477867126465,36,70,105.9704738106877
