episode,method,length,success,collisions,min_dynamic_clearance,global_nodes
0,Greedy+APF,300.0,0,0,6.324555320336759,37
0,Dijkstra+APF,300.0,0,0,6.324555320336759,41
0,A*+DWA,9.123105625617661,0,0,2.23606797749979,41
0,A*+PurePursuit,300.0,0,0,9.486832980505138,41
0,A*+APF,300.0,0,0,6.708203932499369,41
0,RRT*+DWA,19.704570789056774,0,0,1.0,10
0,Hybrid A*+TEB,21.58025294831097,0,0,1.0,41
0,RCRA*+UA-DWA (Ours),64.8846662322103,1,0,0.0,41
0,no_corridor,91.60158324979017,1,0,0.0,41
0,no_risk,57.287468300106525,1,0,0.0,41
0,no_adaptive,9.123105625617661,0,0,2.23606797749979,41
0,no_global_term,20.335087491092576,0,0,1.0,41
1,Greedy+APF,40.0,1,0,9.0,37
1,Dijkstra+APF,39.0,1,0,9.0,41
1,A*+DWA,0.0,0,0,20.615528128088304,41
1,A*+PurePursuit,300.0,0,0,20.12461179749811,41
1,A*+APF,40.0,1,0,9.0,41
1,RRT*+DWA,4.242640687119285,0,0,16.76305461424021,10
1,Hybrid A*+TEB,0.0,0,0,20.615528128088304,41
1,RCRA*+UA-DWA (Ours),40.82842712474619,1,0,8.0,41
1,no_corridor,40.82842712474619,1,0,8.0,41
1,no_risk,40.82842712474619,1,0,9.0,41
1,no_adaptive,0.0,0,0,20.615528128088304,41
1,no_global_term,4.242640687119285,0,0,16.76305461424021,41
2,Greedy+APF,300.0,0,0,32.202484376209235,37
2,Dijkstra+APF,300.0,0,0,32.202484376209235,41
2,A*+DWA,36.660424813608415,1,0,23.08679276123039,41
2,A*+PurePursuit,300.0,0,0,45.221676218380054,41
2,A*+APF,300.0,0,0,32.202484376209235,41
2,RRT*+DWA,16.28538328578604,0,0,32.55764119219941,10
2,Hybrid A*+TEB,39.76498587821108,1,0,27.294688127912362,41
2,RCRA*+UA-DWA (Ours),40.0,1,0,26.0,41
2,no_corridor,40.0,1,0,26.0,41
2,no_risk,40.0,1,0,26.0,41
2,no_adaptive,36.660424813608415,1,0,23.08679276123039,41
2,no_global_term,23.447660945954418,0,0,27.459060435491963,41
3,Greedy+APF,38.0,1,0,14.0,37
3,Dijkstra+APF,38.0,1,0,14.0,41
3,A*+DWA,36.77338716549055,1,0,12.165525060596439,41
3,A*+PurePursuit,300.0,0,0,24.08318915758459,41
3,A*+APF,38.0,1,0,14.0,41
3,RRT*+DWA,16.28538328578604,0,0,15.0,10
3,Hybrid A*+TEB,42.05113117175279,1,0,14.035668847618199,41
3,RCRA*+UA-DWA (Ours),55.68100641798827,1,0,14.560219778561036,41
3,no_corridor,55.68100641798827,1,0,14.560219778561036,41
3,no_risk,55.68100641798827,1,0,14.560219778561036,41
3,no_adaptive,36.77338716549055,1,0,12.165525060596439,41
3,no_global_term,19.699596848159135,0,0,12.529964086141668,41
4,Greedy+APF,40.0,1,0,8.0,37
4,Dijkstra+APF,300.0,0,0,34.713109915419565,41
4,A*+DWA,39.812559200041264,1,0,5.0990195135927845,41
4,A*+PurePursuit,300.0,0,0,37.8549864614954,41
4,A*+APF,40.0,1,0,8.0,41
4,RRT*+DWA,7.6212327846342935,0,0,32.2490309931942,13
4,Hybrid A*+TEB,41.075109306810646,1,0,8.06225774829855,41
4,RCRA*+UA-DWA (Ours),60.457870114591614,1,0,1.4142135623730951,41
4,no_corridor,60.457870114591614,1,0,1.4142135623730951,41
4,no_risk,50.57076657157208,1,0,1.4142135623730951,41
4,no_adaptive,39.812559200041264,1,0,5.0990195135927845,41
